customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV_proxy,AvgChargesPerYear,HighValueCustomer,ActiveServiceCount,TenureGroup,PriceSensitivity
1066-JKSGK,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,241.79999999999998,0,1,0-1yr,10.075
3638-WEABW,Female,0,Yes,No,58.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,3474.2,725.1931034482759,0,4,4-6yr,11.98
6322-HRPFA,Male,0,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,2920.4,727.4204081632654,0,4,4-6yr,11.92
6865-JZNKO,Female,0,No,No,,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,,,0,3,,13.825
6467-CHFZW,Male,0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,4669.45,1212.5489361702128,1,5,2-4yr,16.558333333333334
8665-UTDHZ,Male,0,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,362.40000000000003,0,1,0-1yr,15.1
5248-YGIJN,Male,0,Yes,No,72.0,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6498.0,1061.575,1,8,4-6yr,10.027777777777779
8773-HHUOZ,Female,0,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1099.9,771.5999999999999,0,3,1-2yr,16.175
3841-NFECX,Female,1,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,6840.849999999999,1143.7098591549295,1,6,4-6yr,13.764285714285714
4929-XIHVW,Male,1,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),,,No,,,0,4,0-1yr,
6827-IEAUQ,Female,0,Yes,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,1786.0500000000002,833.088888888889,0,5,2-4yr,11.025
7310-EGVHZ,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,242.4,0,1,0-1yr,10.1
3413-BMNZE,Male,1,No,No,,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,,,0,1,,22.625
6234-RAAPL,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,7192.8,1208.6166666666666,1,6,4-6yr,14.271428571428572
6047-YHPVI,Male,0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,348.5,760.56,0,1,0-1yr,34.85
6572-ADKRS,Female,0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,,No,3440.7999999999997,,1,2,2-4yr,24.933333333333334
5380-WJKOV,Male,0,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,,3549.25,Yes,,1252.6764705882351,0,6,2-4yr,
8168-UQWWF,Female,0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1076.35,1205.8909090909092,1,5,0-1yr,16.308333333333334
8865-TNMNX,Male,0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,,49.55,475.7,No,495.5,570.8399999999999,0,2,0-1yr,16.516666666666666
9489-DEDVP,Female,0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4844.0,835.2600000000001,0,5,4-6yr,11.533333333333333
9867-JCZSP,Female,0,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,352.75,295.235294117647,0,1,1-2yr,10.375
4671-VJLCL,Female,0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,5030.549999999999,925.9904761904761,1,7,4-6yr,9.98125
4080-IIARD,Female,0,Yes,No,,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,,,1,6,,10.885714285714286
3714-NTNFO,Female,0,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,4140.5,956.7428571428571,1,3,4-6yr,21.125
5948-UJZLF,Male,0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,98.5,582.0,0,2,0-1yr,16.416666666666668
7760-OYPDY,Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,161.3,864.9000000000001,1,2,0-1yr,26.883333333333336
7639-LIAYI,Male,0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4147.0,973.3384615384616,1,6,4-6yr,11.392857142857142
2954-PIBKO,Female,0,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4426.35,739.8434782608696,0,5,4-6yr,10.691666666666668
8012-SOUDQ,Female,1,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,,No,3880.75,,1,4,2-4yr,18.05
9420-LOJKX,Female,0,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1486.5,1141.1200000000001,1,5,1-2yr,16.516666666666666
6575-SUVOI,Female,1,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1737.5,841.2719999999999,0,5,2-4yr,11.583333333333334
7495-OOKFY,Female,1,Yes,No,,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,,,1,3,,20.1625
4667-QONEA,Female,1,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,4491.0,891.2700000000001,1,6,4-6yr,10.692857142857141
1658-BYGOY,Male,1,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1718.1000000000001,1168.3666666666666,1,4,1-2yr,19.09
8769-KKTPH,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,,99.65,6311.2,No,,,1,5,,16.608333333333334
5067-XJQFU,Male,1,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,7157.7,1286.609090909091,1,7,4-6yr,13.55625
3957-SQXML,Female,0,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,848.3,315.63529411764705,0,2,2-4yr,8.316666666666666
5954-BDFSG,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,7740.0,1308.95,1,6,4-6yr,15.357142857142858
0434-CSFON,Female,0,Yes,No,47.0,Yes,Yes,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,,100.5,4707.1,No,4723.5,1201.812765957447,1,5,2-4yr,16.75
1215-FIGMP,Male,0,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,,89.9,,No,5394.0,,1,4,4-6yr,17.98
0526-SXDJP,Male,0,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),,2962.0,No,,493.6666666666667,0,3,4-6yr,
0557-ASKVU,Female,0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,979.1999999999999,638.0666666666667,0,3,1-2yr,13.6
5698-BQJOH,Female,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,,94.4,857.25,Yes,849.6,1143.0,1,4,0-1yr,18.880000000000003
5122-CYFXA,Female,0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,225.89999999999998,976.4,1,5,0-1yr,12.549999999999999
8627-ZYGSZ,Male,0,Yes,No,47.0,Yes,Yes,,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,3708.3,932.0042553191489,1,3,2-4yr,19.725
3410-YOQBQ,Female,0,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2455.2000000000003,966.6580645161289,1,6,2-4yr,11.314285714285715
3170-NMYVV,Female,0,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,1007.4999999999999,223.41599999999997,0,1,4-6yr,10.075
7410-OIEDU,Male,0,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,798.5,1064.82,1,3,0-1yr,19.9625
2273-QCKXA,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,,49.05,49.05,No,49.05,588.6,0,2,0-1yr,16.349999999999998
0731-EBJQB,Female,0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,1060.8,251.68846153846158,0,1,4-6yr,10.2
1891-QRQSA,Male,1,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,7142.4,1331.0625,1,7,4-6yr,13.95
8028-PNXHQ,Male,0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,1503.5,275.7290322580645,0,2,4-6yr,8.083333333333334
5630-AHZIL,Female,0,No,Yes,3.0,Yes,No,,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,193.5,709.6,0,4,0-1yr,12.9
2673-CXQEU,Female,1,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,6188.0,1315.6071428571427,1,7,4-6yr,13.8125
6416-JNVRK,Female,0,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,2559.9,701.4391304347826,0,2,2-4yr,18.55
5590-ZSKRV,Female,0,Yes,Yes,,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,,,0,3,,13.6625
0191-ZHSKZ,Male,1,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2242.5,844.5200000000001,1,5,2-4yr,12.458333333333334
3887-PBQAO,Female,0,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,,No,1165.5,,0,2,2-4yr,8.633333333333333
5919-TMRGD,Female,0,No,Yes,,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,,Yes,,,1,2,,26.45
8108-UXRQN,Female,0,Yes,Yes,11.0,No,No phone service,,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,556.05,616.7454545454545,0,3,0-1yr,12.6375
9191-MYQKX,Female,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,,,496.9,Yes,,851.8285714285713,0,2,0-1yr,
9919-YLNNG,Female,0,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,4359.599999999999,1236.4285714285713,1,6,2-4yr,14.828571428571427
0318-ZOPWS,Female,0,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,987.3499999999999,238.3714285714286,0,1,4-6yr,10.075
4445-ZJNMU,Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,893.6999999999999,1225.0,1,5,0-1yr,16.55
4808-YNLEU,Female,0,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2175.25,759.5828571428572,0,3,2-4yr,15.5375
1862-QRWPE,Female,0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,991.1999999999999,264.25,0,1,2-4yr,10.325
2796-NNUFI,Female,0,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,917.6999999999999,241.8521739130435,0,1,2-4yr,9.975
3016-KSVCP,Male,0,Yes,No,29.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,978.75,417.62068965517244,0,1,2-4yr,16.875
4767-HZZHQ,Male,0,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2461.5,1028.08,1,3,2-4yr,20.5125
2424-WVHPL,Male,1,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,896.4000000000001,1,2,0-1yr,24.900000000000002
7233-PAHHL,Male,0,Yes,Yes,66.0,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,5544.0,1038.9545454545455,1,7,4-6yr,10.5
6067-NGCEU,Female,0,No,No,,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,,,1,7,,13.88125
9848-JQJTX,Male,0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,7264.8,1243.175,1,6,4-6yr,14.414285714285715
8637-XJIVR,Female,0,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,,Yes,947.4000000000001,,1,3,0-1yr,19.7375
9803-FTJCG,Male,0,Yes,Yes,71.0,Yes,Yes,,Yes,Yes,No,Yes,No,No,One year,Yes,,66.85,4748.7,No,4746.349999999999,802.5971830985915,0,5,4-6yr,11.141666666666666
0278-YXOOG,Male,0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,105.25,273.23999999999995,0,1,0-1yr,10.525
3212-KXOCR,Male,0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,1092.0,255.50769230769234,0,1,4-6yr,10.5
4598-XLKNJ,Female,1,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,,2514.5,Yes,,1206.9599999999998,0,5,2-4yr,
6380-ARCEH,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,242.4,0,1,0-1yr,10.1
3679-XASPY,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,,No,19.45,,0,1,0-1yr,9.725
7123-WQUHX,Male,0,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,3610.0,1138.6105263157895,1,5,2-4yr,15.833333333333334
5386-THSLQ,Female,1,Yes,No,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,,45.55,3027.25,No,3006.2999999999997,550.4090909090909,0,3,4-6yr,11.3875
3192-NQECA,Male,0,Yes,No,68.0,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,7480.0,1343.2676470588235,1,7,4-6yr,13.75
6180-YBIQI,Male,0,No,No,5.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,121.5,240.48,0,0,0-1yr,24.3
6728-DKUCO,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,7498.8,1217.175,1,6,4-6yr,14.87857142857143
9750-BOOHV,Female,0,No,No,32.0,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,964.8,347.86875000000003,0,1,2-4yr,15.075
8597-CWYHH,Male,0,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,4057.0499999999997,1094.3162790697675,1,4,2-4yr,18.869999999999997
2848-YXSMW,Male,0,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,1396.8,227.20833333333334,0,1,4-6yr,9.7
0486-HECZI,Male,0,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,5321.25,1143.0327272727272,1,5,4-6yr,16.125
4549-ZDQYY,Female,0,No,No,52.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,3013.4,702.0576923076924,0,4,4-6yr,11.59
5712-AHQNN,Female,0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,3940.9500000000003,1103.4697674418603,1,4,2-4yr,18.330000000000002
4846-WHAFZ,Female,1,Yes,No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,2830.5,930.2108108108108,1,2,2-4yr,25.5
5256-SKJGO,Female,0,Yes,Yes,64.0,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,3494.4,641.90625,0,4,4-6yr,10.92
3071-VBYPO,Male,0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,,89.85,248.4,No,269.54999999999995,993.6,1,4,0-1yr,17.97
9560-BBZXK,Female,0,No,No,36.0,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,1117.8,375.45,0,1,2-4yr,15.525
5299-RULOA,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,,,1,5,,16.708333333333332
8402-OOOHJ,Female,0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,,,0,1,,10.325
9445-ZUEQE,Male,0,Yes,Yes,,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,,,1,4,,17.04
1091-SOZGA,Female,0,Yes,Yes,56.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,5588.8,1181.8821428571428,1,5,4-6yr,16.633333333333333
2928-HLDBA,Female,0,No,No,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,124.19999999999999,225.5,0,1,0-1yr,10.35
0404-SWRVG,Male,0,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,223.20000000000002,918.2,1,2,0-1yr,24.8
6497-TILVL,Female,0,Yes,Yes,7.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No,354.90000000000003,600.6,0,2,0-1yr,16.900000000000002
7219-TLZHO,Female,0,Yes,Yes,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,,,0,1,,10.425
4622-YNKIJ,Male,0,No,No,33.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No,2935.35,1100.9636363636364,1,4,2-4yr,17.79
